waktu,data
2021-05-08 14:21:50,7769.6
2021-05-08 14:51:49,7767.7
2021-05-08 15:21:49,7766.4
2021-05-08 15:41:49,7765.7
2021-05-08 15:51:49,7765.4
2021-05-08 16:01:49,7765.1
2021-05-08 16:21:49,7764.6
2021-05-08 16:31:49,7764.6
2021-05-08 16:41:49,7765.3
2021-05-08 16:51:49,7767
2021-05-08 17:01:49,7769
2021-05-08 17:11:49,7770.7
2021-05-08 17:21:49,7771.9
2021-05-08 17:31:49,7772.8
2021-05-08 17:41:49,7772.4
2021-05-08 17:51:49,7773
2021-05-08 18:01:49,7774.6
2021-05-08 18:11:49,7777.3
2021-05-08 18:31:49,7781.6
2021-05-08 18:51:49,7786.3
2021-05-08 19:01:49,7788.2
2021-05-08 19:11:49,7790.1
2021-05-08 19:31:49,7792.7
2021-05-08 20:01:49,7796
2021-05-08 20:11:49,7796.5
2021-05-08 20:21:49,7797
2021-05-08 20:31:49,7796.9
2021-05-01 00:13:25,7760
2021-05-01 00:33:25,7760
2021-05-01 02:03:25,7760
2021-05-01 06:53:25,7760
2021-05-01 07:23:25,7760
2021-05-01 07:33:25,7760
2021-05-01 07:53:25,7760
2021-05-08 14:01:50,7770.7
2021-05-08 14:11:50,7770.2
2021-05-08 14:31:49,7768.8
2021-05-08 14:41:49,7768.3
2021-05-08 15:01:49,7767
2021-05-08 15:11:49,7766.6
2021-05-08 15:31:49,7766.2
2021-05-08 16:11:49,7764.9
2021-05-08 18:21:49,7779.4
2021-05-08 18:41:49,7783.1
2021-05-08 19:21:49,7791.4
2021-05-08 19:41:49,7794.2
2021-05-08 19:51:49,7795.1
2021-05-08 20:41:49,7797
2021-05-08 20:51:49,7796.5
2021-05-08 21:21:49,7793.8
2021-05-08 21:51:49,7792.5
2021-05-13 01:15:28,7758.9
2021-05-13 01:25:28,7758.4
2021-05-13 01:35:28,7758.6
2021-05-13 02:15:28,7758.6
2021-05-13 02:25:28,7758.2
2021-05-13 02:35:28,7758.2
2021-05-13 02:55:28,7758
2021-05-13 03:15:28,7758
2021-05-13 03:25:28,7758
2021-05-13 03:45:28,7757.7
2021-05-13 04:45:28,7757.6
2021-05-13 05:55:28,7757.4
2021-05-13 06:05:28,7757.3
2021-05-13 06:15:28,7757.3
2021-05-13 06:35:28,7757.4
2021-05-13 06:45:28,7757.3
2021-05-13 07:15:28,7757.3
2021-05-13 07:35:28,7757.1
2021-05-13 07:45:28,7757.1
2021-05-13 08:05:28,7756.7
2021-05-08 21:01:49,7795.6
2021-05-08 21:11:49,7794.6
2021-05-08 21:31:49,7793.3
2021-05-08 21:41:49,7792.9
2021-05-08 22:01:49,7792.3
2021-05-13 08:45:27,7756.3
2021-05-13 09:05:27,7756.3
2021-05-13 09:15:27,7756.3
2021-05-13 09:45:27,7756.3
2021-05-01 08:03:25,7760
2021-05-01 08:33:25,7760
2021-05-13 10:05:27,7756.1
2021-05-13 10:15:27,7756.1
2021-05-13 10:25:27,7756
2021-05-13 10:55:27,7755.9
2021-05-13 11:05:27,7755.7
2021-05-13 11:15:27,7755.6
2021-05-13 11:25:27,7755.6
2021-05-13 11:45:27,7755.4
2021-05-13 11:55:27,7755.4
2021-05-13 12:15:27,7755.1
2021-05-01 11:53:25,7760
2021-05-13 12:45:27,7754.7
2021-05-13 13:05:27,7754.6
2021-05-13 13:15:27,7754.5
2021-05-01 13:43:24,7760
2021-05-01 14:13:24,7760
2021-05-01 13:53:24,7760
2021-05-01 14:33:24,7760
2021-05-01 19:33:25,7760
2021-05-01 20:03:25,7760
2021-05-01 20:23:25,7760
2021-05-01 20:33:24,7760
2021-05-01 20:53:24,7760
2021-05-02 00:23:24,7760
2021-05-02 02:53:23,7760
2021-05-02 05:33:23,7760
2021-05-02 06:13:23,7760
2021-05-02 04:03:23,7760
2021-05-02 06:23:23,7760
2021-05-02 02:13:23,7760
2021-05-02 02:33:23,7760
2021-05-02 03:13:23,7760
2021-05-02 03:23:23,7760
2021-05-02 03:33:23,7760
2021-05-02 04:33:23,7760
2021-05-02 04:43:23,7760
2021-05-02 06:03:23,7760
2021-05-02 07:13:23,7760
2021-05-02 10:40:45,7760
2021-05-02 11:00:45,7760
2021-05-02 17:00:46,7760
2021-05-02 17:10:46,7760
2021-05-02 17:20:46,7760
2021-05-02 22:50:44,7760
2021-05-13 08:55:27,7756.4
2021-05-13 09:25:27,7756.3
2021-05-13 09:35:27,7756.3
2021-05-13 09:55:27,7756.1
2021-05-13 10:35:27,7755.9
2021-05-13 10:45:27,7755.8
2021-05-13 11:35:27,7755.5
2021-05-13 12:05:27,7755.4
2021-05-13 12:25:27,7755
2021-05-13 12:35:27,7754.9
2021-05-13 12:55:27,7754.6
2021-05-13 13:25:27,7754.4
2021-05-13 13:45:27,7754.4
2021-05-13 14:05:27,7754.4
2021-05-13 14:25:27,7754.2
2021-05-13 14:55:27,7754.1
2021-05-13 15:05:27,7754.2
2021-05-13 15:15:27,7754
2021-05-13 15:35:27,7754
2021-05-13 15:45:27,7753.9
2021-05-13 16:05:27,7753.7
2021-05-13 16:15:27,7753.5
2021-05-13 16:35:27,7753.4
2021-05-13 16:45:27,7753.4
2021-05-13 16:55:27,7753.4
2021-05-13 17:45:27,7753.4
2021-05-13 18:05:27,7753.3
2021-05-13 18:25:27,7753.3
2021-05-13 19:05:27,7752.9
2021-05-13 19:25:27,7752.7
2021-05-13 19:35:27,7752.6
2021-05-08 22:21:49,7792.3
2021-05-08 22:41:49,7792.4
2021-05-08 23:01:49,7792.4
2021-05-08 23:31:49,7792.6
2021-05-03 04:10:44,7721.7
2021-05-08 23:41:49,7792.7
2021-05-08 23:51:49,7792.9
2021-05-09 00:11:49,7793.2
2021-05-09 00:51:49,7794
2021-05-09 01:11:49,7794.5
2021-05-09 01:31:49,7794.7
2021-05-09 01:41:49,7794.9
2021-05-09 01:51:49,7795.1
2021-05-03 00:00:44,7760
2021-05-09 02:01:49,7795.1
2021-05-03 00:20:44,7760
2021-05-09 02:11:49,7795.2
2021-05-09 02:45:35,7795.4
2021-05-09 03:05:35,7795.7
2021-05-09 03:15:35,7796
2021-05-03 01:20:44,7760
2021-05-03 01:40:44,7760
2021-05-09 03:55:35,7796.3
2021-05-09 04:05:35,7796.2
2021-05-09 04:25:35,7796.1
2021-05-09 04:45:35,7795.9
2021-05-03 05:30:44,7760
2021-05-03 05:20:44,7760
2021-05-03 06:13:45,7760
2021-05-03 06:30:57,7760
2021-05-03 06:33:45,7760
2021-05-09 18:45:34,7792.2
2021-05-03 07:03:45,7760
2021-05-03 07:33:45,7760
2021-05-03 07:53:45,7760
2021-05-03 08:03:45,7760
2021-05-03 08:13:45,7760
2021-05-03 08:23:45,7760
2021-05-08 22:11:49,7792.2
2021-05-08 22:31:49,7792.3
2021-05-08 22:51:49,7792.4
